panel,t_sec,basis,initial_paired_N,initial_paired_U,ties_N,ties_U,ties_resolved_n,grid_N,grid_U,grid_L,grid_n,leader_loss_rate
primary,60,raw_twap,1925,0,0,0,0,1925,0,240,1925,0.12467532467532467532467532467532467532467532467532467532467532467532467532467532
primary,60,projected_close,1925,0,0,0,0,1925,0,156,1925,0.081038961038961038961038961038961038961038961038961038961038961038961038961038961
primary,30,raw_twap,1925,0,0,0,0,1925,0,125,1925,0.064935064935064935064935064935064935064935064935064935064935064935064935064935065
primary,30,projected_close,1925,0,0,0,0,1925,0,36,1925,0.018701298701298701298701298701298701298701298701298701298701298701298701298701299
primary,15,raw_twap,1925,0,0,0,0,1925,0,62,1925,0.032207792207792207792207792207792207792207792207792207792207792207792207792207792
primary,15,projected_close,1925,0,0,0,0,1925,0,12,1925,0.0062337662337662337662337662337662337662337662337662337662337662337662337662337662
primary,10,raw_twap,1925,0,0,0,0,1925,0,43,1925,0.022337662337662337662337662337662337662337662337662337662337662337662337662337662
primary,10,projected_close,1925,0,0,0,0,1925,0,5,1925,0.0025974025974025974025974025974025974025974025974025974025974025974025974025974026
primary,5,raw_twap,1925,0,0,0,0,1925,0,23,1925,0.011948051948051948051948051948051948051948051948051948051948051948051948051948052
primary,5,projected_close,1925,0,0,0,0,1925,0,2,1925,0.0010389610389610389610389610389610389610389610389610389610389610389610389610389610
primary,3,raw_twap,1925,0,0,0,0,1925,0,18,1925,0.0093506493506493506493506493506493506493506493506493506493506493506493506493506494
primary,3,projected_close,1925,0,0,0,0,1925,0,1,1925,0.00051948051948051948051948051948051948051948051948051948051948051948051948051948052
fresh_3s,60,raw_twap,1894,0,0,0,0,1894,0,233,1894,0.12302006335797254487856388595564941921858500527983104540654699049630411826821542
fresh_3s,60,projected_close,1894,0,0,0,0,1894,0,152,1894,0.080253431890179514255543822597676874340021119324181626187961985216473072861668427
fresh_3s,30,raw_twap,1887,0,0,0,0,1887,0,123,1887,0.065182829888712241653418124006359300476947535771065182829888712241653418124006359
fresh_3s,30,projected_close,1887,0,0,0,0,1887,0,36,1887,0.019077901430842607313195548489666136724960254372019077901430842607313195548489666
fresh_3s,15,raw_twap,1896,0,0,0,0,1896,0,61,1896,0.032172995780590717299578059071729957805907172995780590717299578059071729957805907
fresh_3s,15,projected_close,1896,0,0,0,0,1896,0,11,1896,0.0058016877637130801687763713080168776371308016877637130801687763713080168776371308
fresh_3s,10,raw_twap,1902,0,0,0,0,1902,0,43,1902,0.022607781282860147213459516298633017875920084121976866456361724500525762355415352
fresh_3s,10,projected_close,1902,0,0,0,0,1902,0,5,1902,0.0026288117770767613038906414300736067297581493165089379600420609884332281808622503
fresh_3s,5,raw_twap,1907,0,0,0,0,1907,0,22,1907,0.011536444677503932878867330886208704771893025694808599895123230204509701101206083
fresh_3s,5,projected_close,1907,0,0,0,0,1907,0,2,1907,0.0010487676979549029889879391714735186156266386995280545359202936549554273728369166
fresh_3s,3,raw_twap,1910,0,0,0,0,1910,0,17,1910,0.0089005235602094240837696335078534031413612565445026178010471204188481675392670157
fresh_3s,3,projected_close,1910,0,0,0,0,1910,0,1,1910,0.00052356020942408376963350785340314136125654450261780104712041884816753926701570681
