panel,t_sec,basis,x_bin,y_bin,N,U,L,n,leader_loss_rate
primary,60,raw_twap,"[0,1)",<-2,31,0,27,31,0.87096774193548387096774193548387096774193548387096774193548387096774193548387097
primary,60,raw_twap,"[0,1)","[-2,0)",125,0,66,125,0.528
primary,60,raw_twap,"[0,1)","[0,2)",121,0,18,121,0.14876033057851239669421487603305785123966942148760330578512396694214876033057851
primary,60,raw_twap,"[0,1)",>=2,18,0,1,18,0.055555555555555555555555555555555555555555555555555555555555555555555555555555556
primary,60,raw_twap,"[1,2)",<-2,31,0,25,31,0.80645161290322580645161290322580645161290322580645161290322580645161290322580645
primary,60,raw_twap,"[1,2)","[-2,0)",100,0,20,100,0.2
primary,60,raw_twap,"[1,2)","[0,2)",109,0,4,109,0.036697247706422018348623853211009174311926605504587155963302752293577981651376147
primary,60,raw_twap,"[1,2)",>=2,23,0,0,23,0
primary,60,raw_twap,"[2,4)",<-2,38,0,24,38,0.63157894736842105263157894736842105263157894736842105263157894736842105263157895
primary,60,raw_twap,"[2,4)","[-2,0)",144,0,17,144,0.11805555555555555555555555555555555555555555555555555555555555555555555555555556
primary,60,raw_twap,"[2,4)","[0,2)",178,0,9,178,0.050561797752808988764044943820224719101123595505617977528089887640449438202247191
primary,60,raw_twap,"[2,4)",>=2,51,0,1,51,0.019607843137254901960784313725490196078431372549019607843137254901960784313725490
primary,60,raw_twap,"[4,8)",<-2,58,0,18,58,0.31034482758620689655172413793103448275862068965517241379310344827586206896551724
primary,60,raw_twap,"[4,8)","[-2,0)",148,0,4,148,0.027027027027027027027027027027027027027027027027027027027027027027027027027027027
primary,60,raw_twap,"[4,8)","[0,2)",216,0,2,216,0.0092592592592592592592592592592592592592592592592592592592592592592592592592592593
primary,60,raw_twap,"[4,8)",>=2,88,0,0,88,0
primary,60,raw_twap,"[8,infinity)",<-2,88,0,3,88,0.034090909090909090909090909090909090909090909090909090909090909090909090909090909
primary,60,raw_twap,"[8,infinity)","[-2,0)",114,0,1,114,0.0087719298245614035087719298245614035087719298245614035087719298245614035087719298
primary,60,raw_twap,"[8,infinity)","[0,2)",129,0,0,129,0
primary,60,raw_twap,"[8,infinity)",>=2,115,0,0,115,0
primary,60,projected_close,"[0,1)",<-2,0,0,0,0,
