t_sec,subset,all_market_rows,N,U,n,projected_correct,projected_errors,projected_accuracy,projected_ties,twap_correct,twap_errors,twap_accuracy,twap_ties,spot_correct,spot_errors,spot_accuracy,spot_ties,both_correct,both_wrong,projected_improves_twap_count,projected_worsens_twap_count
60,primary_600s,2016,1925,0,1925,1769,156,0.91896103896103896103896103896103896103896103896103896103896103896103896103896104,0,1685,240,0.87532467532467532467532467532467532467532467532467532467532467532467532467532468,0,1769,156,0.91896103896103896103896103896103896103896103896103896103896103896103896103896104,0,1638,109,131,47
60,fresh_3s,2016,1894,0,1894,1742,152,0.91974656810982048574445617740232312565997888067581837381203801478352692713833157,0,1661,233,0.87697993664202745512143611404435058078141499472016895459345300950369588173178458,0,1742,152,0.91974656810982048574445617740232312565997888067581837381203801478352692713833157,0,1616,107,126,45
30,primary_600s,2016,1925,0,1925,1889,36,0.98129870129870129870129870129870129870129870129870129870129870129870129870129870,0,1800,125,0.93506493506493506493506493506493506493506493506493506493506493506493506493506494,0,1866,59,0.96935064935064935064935064935064935064935064935064935064935064935064935064935065,0,1787,23,102,13
30,fresh_3s,2016,1887,0,1887,1851,36,0.98092209856915739268680445151033386327503974562798092209856915739268680445151033,0,1764,123,0.93481717011128775834658187599364069952305246422893481717011128775834658187599364,0,1829,58,0.96926338102808691043985161632220455749867514573396926338102808691043985161632220,0,1751,23,100,13
15,primary_600s,2016,1925,0,1925,1913,12,0.99376623376623376623376623376623376623376623376623376623376623376623376623376623,0,1863,62,0.96779220779220779220779220779220779220779220779220779220779220779220779220779221,0,1848,77,0.96,0,1856,5,57,7
15,fresh_3s,2016,1896,0,1896,1885,11,0.99419831223628691983122362869198312236286919831223628691983122362869198312236287,0,1835,61,0.96782700421940928270042194092827004219409282700421940928270042194092827004219409,0,1820,76,0.95991561181434599156118143459915611814345991561181434599156118143459915611814346,0,1828,4,57,7
10,primary_600s,2016,1925,0,1925,1920,5,0.99740259740259740259740259740259740259740259740259740259740259740259740259740260,0,1882,43,0.97766233766233766233766233766233766233766233766233766233766233766233766233766234,0,1829,96,0.95012987012987012987012987012987012987012987012987012987012987012987012987012987,0,1878,1,42,4
10,fresh_3s,2016,1902,0,1902,1897,5,0.99737118822292323869610935856992639327024185068349106203995793901156677181913775,0,1859,43,0.97739221871713985278654048370136698212407991587802313354363827549947423764458465,0,1807,95,0.95005257623554153522607781282860147213459516298633017875920084121976866456361725,0,1855,1,42,4
5,primary_600s,2016,1925,0,1925,1923,2,0.99896103896103896103896103896103896103896103896103896103896103896103896103896104,0,1902,23,0.98805194805194805194805194805194805194805194805194805194805194805194805194805195,0,1813,112,0.94181818181818181818181818181818181818181818181818181818181818181818181818181818,0,1901,1,22,1
5,fresh_3s,2016,1907,0,1907,1905,2,0.99895123230204509701101206082852648138437336130047194546407970634504457262716308,0,1885,22,0.98846355532249606712113266911379129522810697430519140010487676979549029889879392,0,1795,112,0.94126900891452543261667540639748295752490823282642894598846355532249606712113267,0,1884,1,21,1
3,primary_600s,2016,1925,0,1925,1924,1,0.99948051948051948051948051948051948051948051948051948051948051948051948051948052,0,1907,18,0.99064935064935064935064935064935064935064935064935064935064935064935064935064935,0,1796,129,0.93298701298701298701298701298701298701298701298701298701298701298701298701298701,0,1907,1,17,0
3,fresh_3s,2016,1910,0,1910,1909,1,0.99947643979057591623036649214659685863874345549738219895287958115183246073298429,0,1893,17,0.99109947643979057591623036649214659685863874345549738219895287958115183246073298,0,1785,125,0.93455497382198952879581151832460732984293193717277486910994764397905759162303665,0,1893,1,16,0
