t_sec,period,N,U,L,resolved,loss_rate,wilson_95_low,wilson_95_high
3,post,766,0,8,766,0.0104438642297650130548302872062663185378590078328981723237598,0.00530137230761584958848017875775202710565840634223106917629133,0.0204720627202779304913074716212437428903231610790526806463667
3,pre,6731,26,76,6705,0.0113348247576435495898583146905294556301267710663683818046234,0.00906610239318784574745254750157031897090601148895121029680644,0.0141631630138513800983705700829177324299407598853281576331998
5,post,766,0,11,766,0.0143603133159268929503916449086161879895561357702349869451697,0.00803717044420489475626965606347928796410568703408309559654982,0.0255300771034657350828796931124845158719080278478303842275268
5,pre,6727,27,99,6700,0.0147761194029850746268656716417910447761194029850746268656716,0.0121525675660605960117877749544997334386428174445230218313633,0.0179557606306209903935743855745794237520253589226099901436213
10,post,771,0,18,771,0.0233463035019455252918287937743190661478599221789883268482490,0.0148178273501290717686972885424527675768498286970288809055601,0.0366010253288856522026265409190281472098158885152214494647825
10,pre,6706,26,176,6680,0.0263473053892215568862275449101796407185628742514970059880240,0.0227701242836900498319569480696946251735246784517059120943798,0.0304689390622977027286300569252394490756656756752096237507604
15,post,768,0,26,768,0.0338541666666666666666666666666666666666666666666666666666667,0.0232061146522226505698361274711478903386588388961129630976614,0.0491422389928574718853654494749187981893755234699262819426602
15,pre,6721,27,256,6694,0.0382432028682402151180161338512100388407529130564684792351359,0.0339074721120325586385536787674835562501621740834445647133000,0.0431086026923895266997743231510826345292064429594773449893650
30,post,767,0,45,767,0.0586701434159061277705345501955671447196870925684485006518905,0.0441343944924924371234870301439356151401143652203405740671402,0.0776045931383254853588118969537762650519116188968829482160808
30,pre,6704,27,433,6677,0.0648494833008836303729219709450351954470570615545903849033997,0.0591893045763932131040042401673766114729455771590336103446326,0.0710100818605121503675287137826160595380200600015996796836530
60,post,767,0,89,767,0.116036505867014341590612777053455019556714471968709256844850,0.0952602143392225187539650313796561686903374219067002600639454,0.140639732063365009077754419226772631063138655855551814714219
60,pre,6720,27,815,6693,0.121769012401015986851934857313611235619303750186762288958613,0.114150732156494798523664896433555503328746193136083437485667,0.129821216241461105468641858894589930514134509596364264881727
90,post,765,0,141,765,0.184313725490196078431372549019607843137254901960784313725490,0.158438135636153750647001987070247809819644019928433857641817,0.213343921043176326952586851973779781280920774372798732255409
90,pre,6708,26,1125,6682,0.168362765639030230469919185872493265489374438790781203232565,0.159581958583710016075883806758018965083101411455716879161886,0.177524667815152566291854663603958068918186264658363792751206
120,post,765,0,167,765,0.218300653594771241830065359477124183006535947712418300653595,0.190474628445928205933437383139739618702340194149833829370453,0.248941658156124099336589096421287072321145160599299185631007
120,pre,6733,27,1401,6706,0.208917387414255890247539516850581568744407992842230838055473,0.199355355875188531122803804326158899928519337514014475557153,0.218812715015989006141961496974742032902018308136695924594369
