t_sec,utc_market_start_date,x_bin,y_bin,N,U,L,resolved,loss_rate,wilson_95_low,wilson_95_high
120,2026-08-16,"[0,1)",<-2,1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644
120,2026-08-16,"[0,1)","[-2,0)",77,0,32,77,0.415584415584415584415584415584415584415584415584415584415584,0.312091846422286427340550601631835174771850231932479165571435,0.527099576027994650597320365437445595084618600995964678410581
120,2026-08-16,"[0,1)","[0,2)",86,0,20,86,0.232558139534883720930232558139534883720930232558139534883721,0.155891089360156692161383746474902923961190075682660697818019,0.332095853374077518945090432657612017589431329133908023027377
120,2026-08-16,"[0,1)",>=2,0,0,0,0,,,
120,2026-08-16,"[1,2)",<-2,1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644
120,2026-08-16,"[1,2)","[-2,0)",15,0,2,15,0.133333333333333333333333333333333333333333333333333333333333,0.037361259103065351046643193402398148733014991019704808316858,0.378819828323223614151173391621803939039422047268381567073774
120,2026-08-16,"[1,2)","[0,2)",21,0,3,21,0.142857142857142857142857142857142857142857142857142857142857,0.049810124997252692267020762353178509554809845763770065999945,0.346360602806209415952719912649412012302267632850122471841473
120,2026-08-16,"[1,2)",>=2,1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644
120,2026-08-16,"[2,4)",<-2,0,0,0,0,,,
120,2026-08-16,"[2,4)","[-2,0)",15,0,2,15,0.133333333333333333333333333333333333333333333333333333333333,0.037361259103065351046643193402398148733014991019704808316858,0.378819828323223614151173391621803939039422047268381567073774
120,2026-08-16,"[2,4)","[0,2)",18,0,0,18,0,0,0.175879223646657630299759265673340687198492408383498668745102
120,2026-08-16,"[2,4)",>=2,1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644
120,2026-08-16,"[4,8)",<-2,0,0,0,0,,,
120,2026-08-16,"[4,8)","[-2,0)",2,0,0,2,0,0,0.657619772493346908066213171022805867761678469589830388837810
120,2026-08-16,"[4,8)","[0,2)",11,0,0,11,0,0,0.258832966968031690622885270690496860752291234813264358589584
120,2026-08-16,"[4,8)",>=2,1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644
120,2026-08-16,"[8,infinity)",<-2,0,0,0,0,,,
120,2026-08-16,"[8,infinity)","[-2,0)",1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644
120,2026-08-16,"[8,infinity)","[0,2)",4,0,0,4,0,0,0.489890836454597301712536589852471046460117866669254129450196
120,2026-08-16,"[8,infinity)",>=2,2,0,0,2,0,0,0.657619772493346908066213171022805867761678469589830388837810
120,2026-08-17,"[0,1)",<-2,4,0,3,4,0.75,0.300641842582401915564942608623946450489900204040067862450985,0.954412739190299433578789096449818026280040862625305072823917
120,2026-08-17,"[0,1)","[-2,0)",23,0,14,23,0.608695652173913043478260869565217391304347826086956521739130,0.407855223913817099649036455004428501460890953747340096003370,0.778423772075220544071947832682005175856660476592682190701576
120,2026-08-17,"[0,1)","[0,2)",20,0,4,20,0.2,0.080657662579798049939120321766488120248982155602954004412897,0.416017432251893562859500123908731180537701340419302760569137
120,2026-08-17,"[0,1)",>=2,2,0,0,2,0,0,0.657619772493346908066213171022805867761678469589830388837810
120,2026-08-17,"[1,2)",<-2,2,0,2,2,1,0.342380227506653091933786828977194132238321530410169611162190,1
120,2026-08-17,"[1,2)","[-2,0)",14,0,3,14,0.214285714285714285714285714285714285714285714285714285714286,0.075713867126931825281250264689792498900596000422290639585996,0.475892305866002918432702153041222910105435401510432455143186
120,2026-08-17,"[1,2)","[0,2)",26,1,4,25,0.16,0.064034514566764395140854100598757675913518437423819251002634,0.346536216071788568744812767092052526026891862255960015365702
120,2026-08-17,"[1,2)",>=2,4,0,1,4,0.25,0.045587260809700566421210903550181973719959137374694927176083,0.699358157417598084435057391376053549510099795959932137549015
120,2026-08-17,"[2,4)",<-2,5,0,4,5,0.8,0.375534629762525314372013921647583449989903515711330528044035,0.963775891367569828977116355437082786924683344958530986278769
120,2026-08-17,"[2,4)","[-2,0)",27,0,9,27,0.333333333333333333333333333333333333333333333333333333333333,0.186432614987156474437145424364940294285606066628546568913894,0.521752394926799213416487086042784607893362644588436069876828
120,2026-08-17,"[2,4)","[0,2)",38,0,3,38,0.0789473684210526315789473684210526315789473684210526315789474,0.0272145955069877090241016848455267081007737216747746252163808,0.207993714577714568539159826607115013644858593406663968630985
120,2026-08-17,"[2,4)",>=2,8,0,1,8,0.125,0.022417491450056672799680864765156704300662439077102905272333,0.470888182212853486868029343093234641378134238715551447740093
120,2026-08-17,"[4,8)",<-2,7,0,1,7,0.142857142857142857142857142857142857142857142857142857142857,0.025679624344743560607128914884008804252331158419792918804746,0.513127829274318868525875970782987437609875590583912171444036
120,2026-08-17,"[4,8)","[-2,0)",22,0,3,22,0.136363636363636363636363636363636363636363636363636363636364,0.047490037140552535789798900094415495959800057247582919467239,0.333349871665717191673131755267916108571847594875751010615389
120,2026-08-17,"[4,8)","[0,2)",28,0,0,28,0,0,0.120643304765845633983553520438697530858973767234507701423027
120,2026-08-17,"[4,8)",>=2,5,0,0,5,0,0,0.434482464783174761084782871525556271809021898883564142795326
120,2026-08-17,"[8,infinity)",<-2,4,0,0,4,0,0,0.489890836454597301712536589852471046460117866669254129450196
120,2026-08-17,"[8,infinity)","[-2,0)",9,0,1,9,0.111111111111111111111111111111111111111111111111111111111111,0.019890887638544909123336039549747145430433888416815277180683,0.434999705576656016633305779504184793145793726478044666290525
120,2026-08-17,"[8,infinity)","[0,2)",13,0,0,13,0,1E-60,0.228095372354198371443420042369827223554730318588668470106495
120,2026-08-17,"[8,infinity)",>=2,7,0,1,7,0.142857142857142857142857142857142857142857142857142857142857,0.025679624344743560607128914884008804252331158419792918804746,0.513127829274318868525875970782987437609875590583912171444036
120,2026-08-18,"[0,1)",<-2,2,0,1,2,0.5,0.094531205734230729793326600900495328768115141516490687279156,0.905468794265769270206673399099504671231884858483509312720844
120,2026-08-18,"[0,1)","[-2,0)",19,0,10,19,0.526315789473684210526315789473684210526315789473684210526316,0.317078092451131665699309202447060395044279823815893260518723,0.726701948388204321055969170105674700300081334705134208267733
120,2026-08-18,"[0,1)","[0,2)",37,0,5,37,0.135135135135135135135135135135135135135135135135135135135135,0.059132944257320159561422454931960486027789860454905182014630,0.279774117840097866965879975405738558676949365345192941923450
120,2026-08-18,"[0,1)",>=2,1,0,1,1,1,0.206549314377237427355313009340764864545094252061342744002356,1
120,2026-08-18,"[1,2)",<-2,1,0,1,1,1,0.206549314377237427355313009340764864545094252061342744002356,1
