t_sec,utc_market_start_date,N,U,L,resolved,loss_rate,wilson_95_low,wilson_95_high
3,2026-08-16,257,0,6,257,0.0233463035019455252918287937743190661478599221789883268482490,0.0107427339211865833284001506732755222520159762826715892816649,0.0499894015771958027674578521570397825284055195028926998532869
3,2026-08-17,266,1,3,265,0.0113207547169811320754716981132075471698113207547169811320755,0.0038574073032750318802098856448271052961493442332326850353615,0.0327495165836317176938446141434867617748483652628810602529219
3,2026-08-18,258,0,3,258,0.0116279069767441860465116279069767441860465116279069767441860,0.0039622707402485397016802974292365960509902362377157329360844,0.0336232929249517730347332355407106276031503668266427165029096
3,2026-08-19,257,0,1,257,0.00389105058365758754863813229571984435797665369649805447470817,0.0006871965081303865702880831507848873290699770977025896497258,0.0217074751330431173254008585705636951974911715770684051642036
3,2026-08-20,270,4,5,266,0.0187969924812030075187969924812030075187969924812030075187970,0.0080550149272606414497745615416218019524779313051764921802096,0.0432397671317541699597142633733387161621335880664326574344954
3,2026-08-21,259,21,4,238,0.0168067226890756302521008403361344537815126050420168067226891,0.0065547206817049799439142039865225253657635083585249114131634,0.0424090048864309974761390025046127696022502564293880842227652
3,2026-08-22,271,0,4,271,0.0147601476014760147601476014760147601476014760147601476014760,0.0057545103667140047241017511465762514199272070116349955828026,0.0373301787900971695389986084079430455151485276202954772973316
3,2026-08-23,269,0,1,269,0.00371747211895910780669144981412639405204460966542750929368030,0.0006565268013418777597175888450355577763818528553113743588091,0.0207531916701203839136418951377441313727539269211775642563801
3,2026-08-24,268,0,3,268,0.0111940298507462686567164179104477611940298507462686567164179,0.0038141459210847194918429268031316858294821612102411921797337,0.0323887896553665681498800410962963567092243942488708325336819
3,2026-08-25,275,0,4,275,0.0145454545454545454545454545454545454545454545454545454545455,0.0056705983069991140911132659225136606780627514837212699274741,0.0367960380058909372266140040083399586706370018385340645123299
3,2026-08-26,275,0,2,275,0.00727272727272727272727272727272727272727272727272727272727273,0.0019967151432606753350538568482326173456246921669281213452233,0.0261248520507213617702049077632330412442540836770089409513569
3,2026-08-27,277,0,5,277,0.0180505415162454873646209386281588447653429602888086642599278,0.0077341398699726903298239630178634862477323026312368191676468,0.0415515278473828686598144355142416919191255198741809580000808
