t_sec,leader,N,U,L,resolved,loss_rate,wilson_95_low,wilson_95_high
3,Down,3769,15,43,3754,0.0114544485881726158763985082578582844965370271710175812466702,0.00851517055357789962360631946149145421166720987211913733887470,0.0153925594039516688087751693615337154046854947195714517997211
3,Up,3728,11,41,3717,0.0110304008609093354856066720473500134517083669626042507398440,0.00814152123759768225049475339588180757523946838868250597495660,0.0149289212337408394879753102143833193778805929418855155328554
5,Down,3764,16,56,3748,0.0149413020277481323372465314834578441835645677694770544290288,0.0115243457053954365024168195358960385099511711978525561721082,0.0193515481968768221203832653514888873431134534449247522100898
5,Up,3729,11,54,3718,0.0145239376008606777837547068316299085529854760623991393222162,0.0111489253945906965949389737572126194666887007286486474990346,0.0189011076490339787952796160853566530218589932036885215608238
10,Down,3756,16,99,3740,0.0264705882352941176470588235294117647058823529411764705882353,0.0217913992382527197630008683805526409059415296175321069526409,0.0321215297788520694343381817558095451139201043437152669550479
10,Up,3721,10,95,3711,0.0255995688493667475074104015090272163837240635947184047426570,0.0209876792574704456327079441704270578610694003782961968966393,0.0311925984123686955101988294879970280976782711873151760150475
15,Down,3754,16,136,3738,0.0363830925628678437667201712145532370251471375066880684858213,0.0308408073485533105656511238849641873245150006355197446084619,0.0428772969207896023463329898909163399576415236686687599814387
15,Up,3735,11,146,3724,0.0392051557465091299677765843179377013963480128893662728249194,0.0334316641941046031462655732608866904012252639154136909065255,0.0459283252498359196954734356831988985137462502127365551312727
30,Down,3745,16,240,3729,0.0643604183427192276749798873692679002413515687851971037811746,0.0569238525883780624223065642282369915542969506391497700236751,0.0726936155409950952306746420847965436401272734024176833998637
30,Up,3726,11,238,3715,0.0640646029609690444145356662180349932705248990578734858681023,0.0566320118025623432871114578671518873538251025245310396873939,0.0723978121719342071772715508039374352081513698829850391731323
60,Down,3770,16,458,3754,0.122003196590303676078849227490676611614278103356419818859883,0.111918154322962215145853665826374461494726046256114579205400,0.132861054406445886056735937575955263524687523981403930057234
60,Up,3717,11,446,3706,0.120345385860766324878575283324338909875876956287101996762008,0.110261263308320388484636546427977065110291862279892560254123,0.131215756333772185726890800437672740626177700285683118085029
90,Down,3789,16,648,3773,0.171746620726212562947256824807845216008481314603763583355420,0.160047414267594375670978714680876128447910055564061511149843,0.184113566009974699471013259053443221322497098534435113323167
90,Up,3684,10,618,3674,0.168209036472509526401741970604246053347849755035383777898748,0.156461817263957009151922931996237952888556769257061167428155,0.180649358599031743834363422649628462307072487540279933115725
120,Down,3777,17,789,3760,0.209840425531914893617021276595744680851063829787234042553191,0.197124482913015660795729249171525882372004625632527837319837,0.223148654552323993850064144598710188111946217442721042997273
120,Up,3721,10,779,3711,0.209916464564807329560765292374023174346537321476690918889787,0.197117029252969887852769138906890251821853492216053020820420,0.223315841472154699162476042486630639137869239076409713027594
