t_sec,x_bin,y_bin,N,U,L,resolved,loss_rate,wilson_95_low,wilson_95_high
120,"[0,1)",<-2,135,0,103,135,0.762962962962962962962962962962962962962962962962962962962963,0.684576856893208796026587970811435853915413254029304980383682,0.826797775749426253932306336990147128428860688567463790418926
120,"[0,1)","[-2,0)",494,1,248,493,0.503042596348884381338742393509127789046653144016227180527383,0.459054666478151669654022001005078119583763168846073745161403,0.546983476971311702512690594075058346059766031301676766196115
120,"[0,1)","[0,2)",558,1,162,557,0.290843806104129263913824057450628366247755834829443447037702,0.254662878970216996966992229486597446213081714694874871647019,0.329889945476928378364128039082152472210079959706886423299551
120,"[0,1)",>=2,116,0,18,116,0.155172413793103448275862068965517241379310344827586206896552,0.100466081391981176951212075251121287077262889487927182901100,0.231985302400873108053647155525450198749073970332209986525102
120,"[1,2)",<-2,118,0,77,118,0.652542372881355932203389830508474576271186440677966101694915,0.563047802998432434872283270445019485338614213412781369600291,0.732418127469281163212792287714212806372125834076552673673641
120,"[1,2)","[-2,0)",373,0,137,373,0.367292225201072386058981233243967828418230563002680965147453,0.319954564212414094982111629618221565348846476203801089295091,0.417335487922997478552217753077796343392713239727484630829393
120,"[1,2)","[0,2)",464,2,95,462,0.205627705627705627705627705627705627705627705627705627705628,0.171273654461373103817342173400594225410781487954774672737160,0.244836709161940977093077250651910027434592980881799487586616
120,"[1,2)",>=2,125,1,15,124,0.120967741935483870967741935483870967741935483870967741935484,0.0746949806010957422798627808679159142801073086473462860732101,0.190019292318450250672647663674554885861339938630783716026172
120,"[2,4)",<-2,182,2,105,180,0.583333333333333333333333333333333333333333333333333333333333,0.510305304279413009094688521901242014492551214816733401983176,0.652878779400318149395171347634386457655550460392868993125448
120,"[2,4)","[-2,0)",524,0,157,524,0.299618320610687022900763358778625954198473282442748091603053,0.261970030889138084546257632826768316799577985463569257077656,0.340183235985383311119666591772899908972369554805686462379696
120,"[2,4)","[0,2)",663,0,93,663,0.140271493212669683257918552036199095022624434389140271493213,0.115905059174572942101168597034843631318037182956897016102237,0.168782487332250165688133185059484013351589077112955688249307
120,"[2,4)",>=2,234,0,23,234,0.0982905982905982905982905982905982905982905982905982905982906,0.0663914763100165008396005335715799961930195388575330117545105,0.143166012396227156634084505387289824148643949131420141782176
120,"[4,8)",<-2,272,2,104,270,0.385185185185185185185185185185185185185185185185185185185185,0.329135772082138167544242693289151495523068831641144845450498,0.444455851819499195643724766922790143838910978522249484807308
120,"[4,8)","[-2,0)",498,0,73,498,0.146586345381526104417670682730923694779116465863453815261044,0.118228540929127693183459574389332678621030624435140455869373,0.180354719156268833879083715549408914006881573789428572030741
120,"[4,8)","[0,2)",673,1,47,672,0.0699404761904761904761904761904761904761904761904761904761905,0.0530016686788777293870120491221945217985753416819559984415044,0.0917681697850455197923783325360575318229967097092808012485864
120,"[4,8)",>=2,345,3,21,342,0.0614035087719298245614035087719298245614035087719298245614035,0.0405090352434114203944092108914407795830288596755446706400032,0.0920414662985717479426774137559659661991632730838691187027340
120,"[8,infinity)",<-2,345,4,51,341,0.149560117302052785923753665689149560117302052785923753665689,0.115620450401157014836603926660294248327105623594471635948520,0.191307432292113046964625651293023652468987229405534957268370
120,"[8,infinity)","[-2,0)",322,3,14,319,0.0438871473354231974921630094043887147335423197492163009404389,0.0263199214350932875361257656451583562098423798291072064146684,0.0723088573376443381778165175579618888401115488859555530647328
120,"[8,infinity)","[0,2)",467,3,11,464,0.0237068965517241379310344827586206896551724137931034482758621,0.0132881316587319770383250849917329974823302141896096874511813,0.0419473724495052012925836230465385290147915391608939811998153
120,"[8,infinity)",>=2,590,4,14,586,0.0238907849829351535836177474402730375426621160409556313993174,0.0142836338776028824717163132718455443995496893845093948513288,0.0396994463968096499254421570203216410297312549473726241717602
90,"[0,1)",<-2,115,0,98,115,0.852173913043478260869565217391304347826086956521739130434783,0.775970508393773037404134699383977067669989797700023285986738,0.905609815541928192434653598461472891890051345443958023786640
90,"[0,1)","[-2,0)",481,1,250,480,0.520833333333333333333333333333333333333333333333333333333333,0.476154376717154294650388577573274471984066566564512336238423,0.565181477487542458104719548394900879290404999871359288524675
90,"[0,1)","[0,2)",492,1,124,491,0.252545824847250509164969450101832993890020366598778004073320,0.216138159474156526892863186238777634818945503515272894630268,0.292795468320253711611118443223775087372888611779050671148482
90,"[0,1)",>=2,128,2,15,126,0.119047619047619047619047619047619047619047619047619047619048,0.0734866555936533738436691200889452842190558415746391575099850,0.187150117345164493683057631700581253057412924740885127365329
90,"[1,2)",<-2,119,1,90,118,0.762711864406779661016949152542372881355932203389830508474576,0.678437662067740205923286708713057097298250898819994651652897,0.830420329293322101889898974783398516203579182967191756207767
90,"[1,2)","[-2,0)",340,1,116,339,0.342182890855457227138643067846607669616519174041297935103245,0.293699327868303894637312390955564087415327460302595024299466,0.394203061860002170341212863105650119979544290795609547849104
90,"[1,2)","[0,2)",448,1,60,447,0.134228187919463087248322147651006711409395973154362416107383,0.105723516766690915834132599768759231155282187515380512326153,0.168966080646637443665894835783928517794806376325870146605893
90,"[1,2)",>=2,112,0,6,112,0.0535714285714285714285714285714285714285714285714285714285714,0.0247809390160419427728907186701153553052756909709929137886983,0.111970263722300804573030627775713862314486211790825073882496
90,"[2,4)",<-2,192,1,110,191,0.575916230366492146596858638743455497382198952879581151832461,0.505010782889839441802275466806271012947215937063486895066285,0.643828176618710018728824946664315523500509372462310486053935
90,"[2,4)","[-2,0)",493,0,96,493,0.194726166328600405679513184584178498985801217038539553752535,0.162187015439892226593624123534168744698485048128022286486145,0.231985925130616099346212170092139202400751870381009740642793
90,"[2,4)","[0,2)",644,0,57,644,0.0885093167701863354037267080745341614906832298136645962732919,0.0689418331953144491727297029318504236979812313390823111974685,0.112956773657059927644792380955122498262632473695987393720665
90,"[2,4)",>=2,226,0,13,226,0.0575221238938053097345132743362831858407079646017699115044248,0.0339209255001247138449335341972574757548610071418903088827505,0.0959140441080968292569245450563510019004418372924670808839799
90,"[4,8)",<-2,246,1,86,245,0.351020408163265306122448979591836734693877551020408163265306,0.293973807057220753041000368667553630793841715570854331703823,0.412666716809016996564050346500057003946601791093400136965039
