t_sec,input_status,resolution_status,resolution_type,reconciled_rule,official_winner,rows
3,eligible,pending,,,,26
3,eligible,resolved,winner,btc-5m-twap-60,Down,3752
3,eligible,resolved,winner,btc-5m-twap-60,Up,3719
3,input_unavailable,pending,,,,5
3,input_unavailable,resolved,winner,btc-5m-twap-60,Down,257
3,input_unavailable,resolved,winner,btc-5m-twap-60,Up,255
5,eligible,pending,,,,27
5,eligible,resolved,winner,btc-5m-twap-60,Down,3746
5,eligible,resolved,winner,btc-5m-twap-60,Up,3720
5,input_unavailable,pending,,,,4
5,input_unavailable,resolved,winner,btc-5m-twap-60,Down,263
5,input_unavailable,resolved,winner,btc-5m-twap-60,Up,254
10,eligible,pending,,,,26
10,eligible,resolved,winner,btc-5m-twap-60,Down,3736
10,eligible,resolved,winner,btc-5m-twap-60,Up,3715
10,input_unavailable,pending,,,,5
10,input_unavailable,resolved,winner,btc-5m-twap-60,Down,273
10,input_unavailable,resolved,winner,btc-5m-twap-60,Up,259
15,eligible,pending,,,,27
15,eligible,resolved,winner,btc-5m-twap-60,Down,3748
15,eligible,resolved,winner,btc-5m-twap-60,Up,3714
15,input_unavailable,pending,,,,4
15,input_unavailable,resolved,winner,btc-5m-twap-60,Down,261
15,input_unavailable,resolved,winner,btc-5m-twap-60,Up,260
30,eligible,pending,,,,27
30,eligible,resolved,winner,btc-5m-twap-60,Down,3727
30,eligible,resolved,winner,btc-5m-twap-60,Up,3717
30,input_unavailable,pending,,,,4
30,input_unavailable,resolved,winner,btc-5m-twap-60,Down,282
30,input_unavailable,resolved,winner,btc-5m-twap-60,Up,257
60,eligible,pending,,,,27
60,eligible,resolved,winner,btc-5m-twap-60,Down,3742
60,eligible,resolved,winner,btc-5m-twap-60,Up,3718
60,input_unavailable,pending,,,,4
60,input_unavailable,resolved,winner,btc-5m-twap-60,Down,267
60,input_unavailable,resolved,winner,btc-5m-twap-60,Up,256
90,eligible,pending,,,,26
90,eligible,resolved,winner,btc-5m-twap-60,Down,3743
90,eligible,resolved,winner,btc-5m-twap-60,Up,3704
90,input_unavailable,pending,,,,5
90,input_unavailable,resolved,winner,btc-5m-twap-60,Down,266
90,input_unavailable,resolved,winner,btc-5m-twap-60,Up,270
120,eligible,pending,,,,27
120,eligible,resolved,winner,btc-5m-twap-60,Down,3750
120,eligible,resolved,winner,btc-5m-twap-60,Up,3721
120,input_unavailable,pending,,,,4
120,input_unavailable,resolved,winner,btc-5m-twap-60,Down,259
120,input_unavailable,resolved,winner,btc-5m-twap-60,Up,253
