t_sec,x_bin,y_bin,full_N,full_U,full_L,full_resolved,full_loss_rate,full_wilson_95_low,full_wilson_95_high,matched_N,matched_U,matched_L,matched_resolved,matched_loss_rate,matched_wilson_95_low,matched_wilson_95_high,matched_ask_eq_0_N,matched_ask_eq_1_N,median_bid,median_ask,ask_available_N,bid_available_N,ask_only_N,bid_only_N,paired_quote_N,crossed_quote_N,neither_available_N,ask_available_eq_0_N,ask_available_eq_1_N,excluded_no_quote_row_N,excluded_token_mismatch_N,excluded_quote_sample_stale_N,excluded_quote_received_stale_N,excluded_ask_price_missing_N,excluded_ask_price_invalid_N,excluded_ask_source_clock_missing_or_invalid_N,excluded_ask_source_age_N,excluded_ask_received_clock_missing_or_invalid_N,excluded_ask_received_age_N,excluded_bid_price_missing_N,excluded_bid_price_invalid_N,excluded_bid_source_clock_missing_or_invalid_N,excluded_bid_source_age_N,excluded_bid_received_clock_missing_or_invalid_N,excluded_bid_received_age_N,excluded_crossed_quote_N
120,"[0,1)",<-2,135,0,103,135,0.762962962962962962962962962962962962962962962962962962962963,0.684576856893208796026587970811435853915413254029304980383682,0.826797775749426253932306336990147128428860688567463790418926,89,0,66,89,0.741573033707865168539325842696629213483146067415730337078652,0.641970587162889689910499050612368873068834550763674086530502,0.821184565138696176247929315225074934449080243519762835708032,0,0,0.22000000,0.23000000,89,89,0,0,89,0,46,0,0,4,4,1,2,4,0,4,42,4,2,4,0,4,42,4,2,0
120,"[0,1)","[-2,0)",494,1,248,493,0.503042596348884381338742393509127789046653144016227180527383,0.459054666478151669654022001005078119583763168846073745161403,0.546983476971311702512690594075058346059766031301676766196115,419,1,207,418,0.495215311004784688995215311004784688995215311004784688995215,0.447547306505477654965447615228732930728270303821372424411489,0.542970458127751009007426976214860781073557579303314251580037,0,0,0.50000000,0.51000000,419,419,0,0,419,0,75,0,0,5,5,2,6,5,0,5,70,5,6,5,0,5,70,5,6,0
120,"[0,1)","[0,2)",558,1,162,557,0.290843806104129263913824057450628366247755834829443447037702,0.254662878970216996966992229486597446213081714694874871647019,0.329889945476928378364128039082152472210079959706886423299551,480,1,135,479,0.281837160751565762004175365344467640918580375782881002087683,0.243406510789366756678485641064877607967911202226720060648233,0.323739192666861681289829425916512488695635234706628804968531,0,0,0.69000000,0.70000000,480,480,0,0,480,0,78,0,0,16,16,1,2,16,0,16,62,16,2,16,0,16,62,16,2,0
120,"[0,1)",>=2,116,0,18,116,0.155172413793103448275862068965517241379310344827586206896552,0.100466081391981176951212075251121287077262889487927182901100,0.231985302400873108053647155525450198749073970332209986525102,69,0,9,69,0.130434782608695652173913043478260869565217391304347826086957,0.0701662783960349118882761902882328443919450683240937808656608,0.229682999395872882643773749826521866143341651434982685320913,0,1,0.79000000,0.81000000,69,69,0,0,69,0,47,0,1,5,5,2,2,5,0,5,42,5,2,5,0,5,42,5,2,0
120,"[1,2)",<-2,118,0,77,118,0.652542372881355932203389830508474576271186440677966101694915,0.563047802998432434872283270445019485338614213412781369600291,0.732418127469281163212792287714212806372125834076552673673641,73,0,43,73,0.589041095890410958904109589041095890410958904109589041095890,0.474492232441847540953862970531957144878085418240321102447048,0.694687272990693494578883916116019912865941454389174205650052,0,0,0.34000000,0.35000000,73,73,0,0,73,0,45,0,0,8,8,1,1,8,0,8,37,8,1,8,0,8,37,8,1,0
120,"[1,2)","[-2,0)",373,0,137,373,0.367292225201072386058981233243967828418230563002680965147453,0.319954564212414094982111629618221565348846476203801089295091,0.417335487922997478552217753077796343392713239727484630829393,309,0,103,309,0.333333333333333333333333333333333333333333333333333333333333,0.283102625869324372886338027325102451724494104116038527411338,0.387657124490250855167334852399764293403073088078667997425674,0,0,0.64000000,0.65000000,309,309,0,0,309,0,64,0,0,11,11,3,4,11,0,11,53,11,4,11,0,11,53,11,4,0
120,"[1,2)","[0,2)",464,2,95,462,0.205627705627705627705627705627705627705627705627705627705628,0.171273654461373103817342173400594225410781487954774672737160,0.244836709161940977093077250651910027434592980881799487586616,384,2,71,382,0.185863874345549738219895287958115183246073298429319371727749,0.150051517226807985070808712024824536722436509928174359732455,0.227931344610931107655010466025462913662496069496887022689471,0,0,0.82000000,0.83000000,384,384,0,0,384,0,80,0,0,13,13,1,3,13,0,13,67,13,3,13,0,13,67,13,3,0
120,"[1,2)",>=2,125,1,15,124,0.120967741935483870967741935483870967741935483870967741935484,0.0746949806010957422798627808679159142801073086473462860732101,0.190019292318450250672647663674554885861339938630783716026172,91,1,11,90,0.122222222222222222222222222222222222222222222222222222222222,0.0696361596548238399827512632750092156240242674913056271394891,0.205737424104889725567966667504146750118916705443291048323551,0,0,0.87000000,0.88000000,91,91,0,0,91,0,34,0,0,6,6,1,2,6,0,6,28,6,2,6,0,6,28,6,2,0
120,"[2,4)",<-2,182,2,105,180,0.583333333333333333333333333333333333333333333333333333333333,0.510305304279413009094688521901242014492551214816733401983176,0.652878779400318149395171347634386457655550460392868993125448,96,1,57,95,0.6,0.499456028552734729556352173499405092058922348523343724019597,0.692771000739370678146302300584974229228927691698495995703801,0,0,0.45000000,0.46000000,96,96,0,0,96,0,86,0,0,9,9,3,5,9,0,9,77,9,5,9,0,9,77,9,5,0
120,"[2,4)","[-2,0)",524,0,157,524,0.299618320610687022900763358778625954198473282442748091603053,0.261970030889138084546257632826768316799577985463569257077656,0.340183235985383311119666591772899908972369554805686462379696,410,0,119,410,0.290243902439024390243902439024390243902439024390243902439024,0.248418860790565687932897729207445180414394912622202615903155,0.335963041181892884135719543007130502978204274437042887466499,0,0,0.77000000,0.78000000,410,410,0,0,410,0,114,0,0,21,21,4,7,21,0,21,93,21,7,21,0,21,93,21,7,0
