t_sec,x_bin,y_bin,ask_band,N,U,L,resolved,loss_rate,wilson_95_low,wilson_95_high,median_bid,median_ask,ask_eq_0_N,ask_eq_1_N
120,"[0,1)",<-2,ask=0,0,0,0,0,,,,,,0,0
120,"[0,1)",<-2,"(0,0.90)",89,0,66,89,0.741573033707865168539325842696629213483146067415730337078652,0.641970587162889689910499050612368873068834550763674086530502,0.821184565138696176247929315225074934449080243519762835708032,0.22000000,0.23000000,0,0
120,"[0,1)",<-2,"[0.90,0.95)",0,0,0,0,,,,,,0,0
120,"[0,1)",<-2,"[0.95,0.98)",0,0,0,0,,,,,,0,0
120,"[0,1)",<-2,"[0.98,1)",0,0,0,0,,,,,,0,0
120,"[0,1)",<-2,ask=1,0,0,0,0,,,,,,0,0
120,"[0,1)","[-2,0)",ask=0,0,0,0,0,,,,,,0,0
120,"[0,1)","[-2,0)","(0,0.90)",407,1,205,406,0.504926108374384236453201970443349753694581280788177339901478,0.456475042174709943479774160106639352126293665860555017269647,0.553284829390040664902337912805142761064587612652947932108293,0.50000000,0.51000000,0,0
120,"[0,1)","[-2,0)","[0.90,0.95)",7,0,0,7,0,0,0.354330435066687400786206839933794738607089448605187126348296,0.92000000,0.93000000,0,0
120,"[0,1)","[-2,0)","[0.95,0.98)",4,0,2,4,0.5,0.150038989152149514156900362816506811250894777823785469987184,0.849961010847850485843099637183493188749105222176214530012816,0.94000000,0.95000000,0,0
120,"[0,1)","[-2,0)","[0.98,1)",1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644,0.98000000,0.99000000,0,0
120,"[0,1)","[-2,0)",ask=1,0,0,0,0,,,,,,0,0
120,"[0,1)","[0,2)",ask=0,0,0,0,0,,,,,,0,0
120,"[0,1)","[0,2)","(0,0.90)",431,1,135,430,0.313953488372093023255813953488372093023255813953488372093023,0.271898895785184925836365884558157333150693679492401559686680,0.359302786887268688206107503092847977096690730127779342953736,0.67000000,0.68000000,0,0
120,"[0,1)","[0,2)","[0.90,0.95)",36,0,0,36,0,0,0.0964186285944636615382445947927992309228324969090787481472514,0.90500000,0.92000000,0,0
120,"[0,1)","[0,2)","[0.95,0.98)",11,0,0,11,0,0,0.258832966968031690622885270690496860752291234813264358589584,0.94000000,0.95000000,0,0
120,"[0,1)","[0,2)","[0.98,1)",2,0,0,2,0,0,0.657619772493346908066213171022805867761678469589830388837810,0.97000000,0.98000000,0,0
120,"[0,1)","[0,2)",ask=1,0,0,0,0,,,,,,0,0
120,"[0,1)",>=2,ask=0,0,0,0,0,,,,,,0,0
120,"[0,1)",>=2,"(0,0.90)",59,0,9,59,0.152542372881355932203389830508474576271186440677966101694915,0.0823846399859648041037741424716173405453062444939424177011880,0.265179837837735594672955256675237379752079364640924183613322,0.79000000,0.80000000,0,0
120,"[0,1)",>=2,"[0.90,0.95)",4,0,0,4,0,0,0.489890836454597301712536589852471046460117866669254129450196,0.89000000,0.90000000,0,0
