t_sec,x_bin,y_bin,ask_band,N,U,L,n,loss_rate,wilson_95_low,wilson_95_high,resolved_mean_ask,gross_payout_sum,gross_ask_sum,gross_pnl_sum,gross_pnl_mean,fixed_mean_ask_wilson_screen_lower
120,"[0,1)",<-2,ask=0,0,0,0,0,,,,,0,0,0,,
120,"[0,1)",<-2,"(0,0.90)",89,0,66,89,0.741573033707865168539325842696629213483146067415730337078652,0.641970587162889689910499050612368873068834550763674086530502,0.821184565138696176247929315225074934449080243519762835708032,0.244831460674157303370786516853932584269662921348314606741573,23,21.79000000,1.21000000,0.0135955056179775280898876404494382022471910112359550561797753,-0.066016025812853479618715832079007518718743164868077442449605
120,"[0,1)",<-2,"[0.90,0.95)",0,0,0,0,,,,,0,0,0,,
120,"[0,1)",<-2,"[0.95,0.98)",0,0,0,0,,,,,0,0,0,,
120,"[0,1)",<-2,"[0.98,1)",0,0,0,0,,,,,0,0,0,,
120,"[0,1)",<-2,ask=1,0,0,0,0,,,,,0,0,0,,
120,"[0,1)","[-2,0)",ask=0,0,0,0,0,,,,,0,0,0,,
120,"[0,1)","[-2,0)","(0,0.90)",407,1,205,406,0.504926108374384236453201970443349753694581280788177339901478,0.456475042174709943479774160106639352126293665860555017269647,0.553284829390040664902337912805142761064587612652947932108293,0.509162561576354679802955665024630541871921182266009852216749,201,206.72000000,-5.72000000,-0.0140886699507389162561576354679802955665024630541871921182266,-0.062447390966395344705293577829773302936508794918957784325042
120,"[0,1)","[-2,0)","[0.90,0.95)",7,0,0,7,0,0,0.354330435066687400786206839933794738607089448605187126348296,0.921428571428571428571428571428571428571428571428571428571429,7,6.45000000,0.55000000,0.0785714285714285714285714285714285714285714285714285714285714,-0.275759006495258829357635411362366167178518020033758554919725
120,"[0,1)","[-2,0)","[0.95,0.98)",4,0,2,4,0.5,0.150038989152149514156900362816506811250894777823785469987184,0.849961010847850485843099637183493188749105222176214530012816,0.95250000,2,3.81000000,-1.81000000,-0.45250000,-0.802461010847850485843099637183493188749105222176214530012816
