t_sec,ask_band,N,U,L,n,loss_rate,wilson_95_low,wilson_95_high,resolved_mean_ask,gross_payout_sum,gross_ask_sum,gross_pnl_sum,gross_pnl_mean,fixed_mean_ask_wilson_screen_lower
120,ask=0,0,0,0,0,,,,,0,0,0,,
120,"(0,0.90)",3114,11,1030,3103,0.331936835320657428295198195294875926522719948436996455043506,0.315584679372621518407697114420311375757708511006944273281061,0.348704595177002384573065301610266129660534089181990096494695,0.673844666451820818562681276184337737673219465033838221076378,2073,2090.94000000,-17.94000000,-0.00578150177247824685787947147921366419593941347083467611988398,-0.022549261628823203135746577794603867333753554215828317571073
120,"[0.90,0.95)",931,6,71,925,0.0767567567567567567567567567567567567567567567567567567567568,0.0612983284480342651036356692085741705664994178484073212134616,0.0957160440648616353372252836661436577659134072706347419964418,0.922054054054054054054054054054054054054054054054054054054054,854,852.90000000,1.10000000,0.00118918918918918918918918918918918918918918918918918918918919,-0.0177700981189156893912793377201977118199674613246887960504958
120,"[0.95,0.98)",776,3,26,773,0.0336351875808538163001293661060802069857697283311772315653299,0.0230553463629714898727561073296067084368468088448488034830356,0.0488273501469004360380098152162933768793900691031896158715096,0.961199223803363518758085381630012936610608020698576972833118,747,743.00700000,3.99300000,0.00516558861578266494178525226390685640362225097024579560155239,-0.0100265739502639547960951968463063134899980898017665887046276
120,"[0.98,1)",731,3,14,728,0.0192307692307692307692307692307692307692307692307692307692308,0.0114893470515351978902529996921309788474704784203279991392169,0.0320193370178316452647071565901299087224073878977536517969961,0.986149725274725274725274725274725274725274725274725274725275,714,717.91700000,-3.91700000,-0.00538049450549450549450549450549450549450549450549450549450549,-0.0181690622925569199899818818648551834476821131724789265222711
120,ask=1,516,2,1,514,0.00194552529182879377431906614785992217898832684824902723735409,0.00034351557975983152547676098767554902073106526896243604869654,0.0109368844754948541310906299551602826375982995075191204323746,1.00000000,513,514.00000000,-1.00000000,-0.00194552529182879377431906614785992217898832684824902723735409,-0.0109368844754948541310906299551602826375982995075191204323746
90,ask=0,0,0,0,0,,,,,0,0,0,,
90,"(0,0.90)",2234,9,803,2225,0.360898876404494382022471910112359550561797752808988764044944,0.341198973980126844242138822124975306461233007351104541995782,0.381078266713556195169109227418658811553095538323701042197526,0.645622471910112359550561797752808988764044943820224719101124,1422,1436.51000000,-14.51000000,-0.00652134831460674157303370786516853932584269662921348314606742,-0.026700738623668554719671025171467800317140482143925761298650
90,"[0.90,0.95)",711,6,65,705,0.0921985815602836879432624113475177304964539007092198581560284,0.0729966211434227426713232312055937210858148307838932715070175,0.115820577900447175944851510568336633021026921461829087174131,0.923702127659574468085106382978723404255319148936170212765957,640,651.21000000,-11.21000000,-0.0159007092198581560283687943262411347517730496453900709219858,-0.039522705560021644029957893547060037276346070397999299940088
90,"[0.95,0.98)",737,3,30,734,0.0408719346049046321525885558583106267029972752043596730245232,0.0287774909960449095614650634959881481406934056341416038231751,0.0577471384585443308968823913899336020563958015780425441461991,0.961846049046321525885558583106267029972752043596730245231608,704,705.99500000,-1.99500000,-0.00271798365122615803814713896457765667574931880108991825613079,-0.0195931875048658567824409744962006320291478451747727893778071
