t_sec,reason,N,U,L,n,loss_rate,wilson_95_low,wilson_95_high
120,no_quote_row,249,0,57,249,0.228915662650602409638554216867469879518072289156626506024096,0.181084733209510826050184167858648761399587696986657078383897,0.284983843401032142529627117978775717521537652567116385959179
120,token_mismatch,249,0,57,249,0.228915662650602409638554216867469879518072289156626506024096,0.181084733209510826050184167858648761399587696986657078383897,0.284983843401032142529627117978775717521537652567116385959179
120,quote_sample_stale,32,0,11,32,0.34375,0.204104379244331775727316205526209488259680636229082270730265,0.516889120210377791169443455822588876618676197858860302670213
120,quote_received_stale,70,0,21,70,0.3,0.205366052576379915987501375418283525803633402121715345294018,0.415443172387726850965450074549995154864411851486637413241950
120,ask_price_missing,249,0,57,249,0.228915662650602409638554216867469879518072289156626506024096,0.181084733209510826050184167858648761399587696986657078383897,0.284983843401032142529627117978775717521537652567116385959179
120,ask_price_invalid,0,0,0,0,,,
120,ask_source_clock_missing_or_invalid,249,0,57,249,0.228915662650602409638554216867469879518072289156626506024096,0.181084733209510826050184167858648761399587696986657078383897,0.284983843401032142529627117978775717521537652567116385959179
120,ask_source_age,1181,2,369,1179,0.312977099236641221374045801526717557251908396946564885496183,0.287151792689004342367074377563250767710502455889801952922848,0.340017176819655064424730542158389931833959473644010816559950
120,ask_received_clock_missing_or_invalid,249,0,57,249,0.228915662650602409638554216867469879518072289156626506024096,0.181084733209510826050184167858648761399587696986657078383897,0.284983843401032142529627117978775717521537652567116385959179
120,ask_received_age,70,0,21,70,0.3,0.205366052576379915987501375418283525803633402121715345294018,0.415443172387726850965450074549995154864411851486637413241950
120,bid_price_missing,249,0,57,249,0.228915662650602409638554216867469879518072289156626506024096,0.181084733209510826050184167858648761399587696986657078383897,0.284983843401032142529627117978775717521537652567116385959179
120,bid_price_invalid,0,0,0,0,,,
120,bid_source_clock_missing_or_invalid,249,0,57,249,0.228915662650602409638554216867469879518072289156626506024096,0.181084733209510826050184167858648761399587696986657078383897,0.284983843401032142529627117978775717521537652567116385959179
120,bid_source_age,1181,2,369,1179,0.312977099236641221374045801526717557251908396946564885496183,0.287151792689004342367074377563250767710502455889801952922848,0.340017176819655064424730542158389931833959473644010816559950
120,bid_received_clock_missing_or_invalid,249,0,57,249,0.228915662650602409638554216867469879518072289156626506024096,0.181084733209510826050184167858648761399587696986657078383897,0.284983843401032142529627117978775717521537652567116385959179
120,bid_received_age,70,0,21,70,0.3,0.205366052576379915987501375418283525803633402121715345294018,0.415443172387726850965450074549995154864411851486637413241950
120,crossed_quote,0,0,0,0,,,
120,bid_source_old,1181,2,369,1179,0.312977099236641221374045801526717557251908396946564885496183,0.287151792689004342367074377563250767710502455889801952922848,0.340017176819655064424730542158389931833959473644010816559950
120,ask_source_old,1181,2,369,1179,0.312977099236641221374045801526717557251908396946564885496183,0.287151792689004342367074377563250767710502455889801952922848,0.340017176819655064424730542158389931833959473644010816559950
120,bid_source_future,0,0,0,0,,,
120,ask_source_future,0,0,0,0,,,
120,bid_received_stale,70,0,21,70,0.3,0.205366052576379915987501375418283525803633402121715345294018,0.415443172387726850965450074549995154864411851486637413241950
120,ask_received_stale,70,0,21,70,0.3,0.205366052576379915987501375418283525803633402121715345294018,0.415443172387726850965450074549995154864411851486637413241950
120,bid_received_future,0,0,0,0,,,
120,ask_received_future,0,0,0,0,,,
120,quote_row_stale,70,0,21,70,0.3,0.205366052576379915987501375418283525803633402121715345294018,0.415443172387726850965450074549995154864411851486637413241950
120,both_sources_old_common_fresh,1111,2,348,1109,0.313796212804328223624887285843101893597835888187556357078449,0.287167885780911122329647501344304223861513030932438179260776,0.341710067384433373227608365704186207080299687304199318663816
120,only_bid_unavailable_with_fresh_ask,0,0,0,0,,,
120,only_bid_source_old_with_fresh_ask,0,0,0,0,,,
120,only_bid_received_stale_with_fresh_ask,0,0,0,0,,,
90,no_quote_row,258,0,43,258,0.166666666666666666666666666666666666666666666666666666666667,0.126152739291028597659767828218593264412073610901247755351084,0.216961216861409711033339821268831031097895372142679440297754
90,token_mismatch,258,0,43,258,0.166666666666666666666666666666666666666666666666666666666667,0.126152739291028597659767828218593264412073610901247755351084,0.216961216861409711033339821268831031097895372142679440297754
90,quote_sample_stale,42,0,15,42,0.357142857142857142857142857142857142857142857142857142857143,0.229891883156187749458294917697084512164796978180660649665217,0.508336342805441940708016281724624091307890743356484867189911
90,quote_received_stale,78,0,22,78,0.282051282051282051282051282051282051282051282051282051282051,0.194253347296740197986589513753384360526792507558200472322838,0.390309287706011155408331280790120575466934725246858029652344
90,ask_price_missing,258,0,43,258,0.166666666666666666666666666666666666666666666666666666666667,0.126152739291028597659767828218593264412073610901247755351084,0.216961216861409711033339821268831031097895372142679440297754
90,ask_price_invalid,0,0,0,0,,,
90,ask_source_clock_missing_or_invalid,258,0,43,258,0.166666666666666666666666666666666666666666666666666666666667,0.126152739291028597659767828218593264412073610901247755351084,0.216961216861409711033339821268831031097895372142679440297754
90,ask_source_age,1117,1,302,1116,0.270609318996415770609318996415770609318996415770609318996416,0.245363476843989987549280671586585060128889706690534872905512,0.297428946166328293020195249190291831932709844772224248981442
90,ask_received_clock_missing_or_invalid,258,0,43,258,0.166666666666666666666666666666666666666666666666666666666667,0.126152739291028597659767828218593264412073610901247755351084,0.216961216861409711033339821268831031097895372142679440297754
90,ask_received_age,78,0,22,78,0.282051282051282051282051282051282051282051282051282051282051,0.194253347296740197986589513753384360526792507558200472322838,0.390309287706011155408331280790120575466934725246858029652344
90,bid_price_missing,258,0,43,258,0.166666666666666666666666666666666666666666666666666666666667,0.126152739291028597659767828218593264412073610901247755351084,0.216961216861409711033339821268831031097895372142679440297754
90,bid_price_invalid,0,0,0,0,,,
90,bid_source_clock_missing_or_invalid,258,0,43,258,0.166666666666666666666666666666666666666666666666666666666667,0.126152739291028597659767828218593264412073610901247755351084,0.216961216861409711033339821268831031097895372142679440297754
90,bid_source_age,1117,1,302,1116,0.270609318996415770609318996415770609318996415770609318996416,0.245363476843989987549280671586585060128889706690534872905512,0.297428946166328293020195249190291831932709844772224248981442
90,bid_received_clock_missing_or_invalid,258,0,43,258,0.166666666666666666666666666666666666666666666666666666666667,0.126152739291028597659767828218593264412073610901247755351084,0.216961216861409711033339821268831031097895372142679440297754
90,bid_received_age,78,0,22,78,0.282051282051282051282051282051282051282051282051282051282051,0.194253347296740197986589513753384360526792507558200472322838,0.390309287706011155408331280790120575466934725246858029652344
90,crossed_quote,0,0,0,0,,,
