t_sec,status,N,U,L,n,loss_rate,wilson_95_low,wilson_95_high
120,matched,6068,25,1142,6043,0.188978983948370014893264934635115009101439682277014727784213,0.179307104395163512452957564017659277852326938942009884378008,0.199046036562973697742473585703324103466792887599500849769178
120,ask_only,0,0,0,0,,,
120,bid_only,0,0,0,0,,,
120,crossed_quote,0,0,0,0,,,
120,neither_available,1430,2,426,1428,0.298319327731092436974789915966386554621848739495798319327731,0.275156270116961414048973512110417016695295360711127501266970,0.322564555431413059053081329886358877598293818377047337022608
90,matched,6098,25,921,6073,0.151654865799440144903671990778857236950436357648608595422361,0.142854105586313343422192649917644199041077887528652448470704,0.160896036873205166471440607279867797160936827967683398249794
90,ask_only,0,0,0,0,,,
90,bid_only,0,0,0,0,,,
90,crossed_quote,0,0,0,0,,,
90,neither_available,1375,1,345,1374,0.251091703056768558951965065502183406113537117903930131004367,0.228878131848472837409592022520017973459868189422249850627688,0.274693200236830180999513901647694154287598749508111364681802
60,matched,6275,25,633,6250,0.10128,0.0940435389721604179076588871379855586425895605127964618220505,0.109006293228119245891100797509536686967842209018393814591412
60,ask_only,0,0,0,0,,,
60,bid_only,0,0,0,0,,,
60,crossed_quote,0,0,0,0,,,
60,neither_available,1212,2,271,1210,0.223966942148760330578512396694214876033057851239669421487603,0.201371202069198727466841642137049889400816360389985469145242,0.248309812575832088556013719839803760796008147715049904388364
30,matched,6785,27,359,6758,0.0531222255105060668836934004143237644273453684522047943178455,0.0480244233171638979579269086136411981091769932191573626631728,0.0587277777240281596400090680581208779049423488893464898726320
30,ask_only,0,0,0,0,,,
30,bid_only,0,0,0,0,,,
30,crossed_quote,0,0,0,0,,,
30,neither_available,686,0,119,686,0.173469387755102040816326530612244897959183673469387755102041,0.146973026638829593953085653641255188550341087609810866263778,0.203602392870067097875556435089653493509533770111438548323638
15,matched,6960,27,214,6933,0.0308668685994518967258041251983268426366652242896293091013991,0.0270482792500358561362046785497975631704284651361410340743002,0.0352050476256384567600444430351656467754149590862020600631722
15,ask_only,0,0,0,0,,,
15,bid_only,0,0,0,0,,,
15,crossed_quote,0,0,0,0,,,
15,neither_available,529,0,68,529,0.128544423440453686200378071833648393194706994328922495274102,0.102678175194616923283329555009854357685668610649504158903946,0.159766603652353420546920094701005272656306988874342682072714
10,matched,7005,25,142,6980,0.0203438395415472779369627507163323782234957020057306590257880,0.0172862169211699357710237760768604295747485201745730109205575,0.0239291314680959951782889631952052244495963360503529868413189
10,ask_only,1,0,1,1,1,0.206549314377237427355313009340764864545094252061342744002356,1
10,bid_only,0,0,0,0,,,
10,crossed_quote,0,0,0,0,,,
10,neither_available,471,1,51,470,0.108510638297872340425531914893617021276595744680851063829787,0.0835008181690873682854090471509123006945110819565812951826870,0.139868110088297315641708795763517045098049280300390050605305
5,matched,7071,26,81,7045,0.0114975159687721788502484031227821149751596877217885024840312,0.00926079687251264884600730878240595378845664419727283033114584,0.0142666806270933952759598375628100350541136023558468318375748
5,ask_only,0,0,0,0,,,
5,bid_only,0,0,0,0,,,
5,crossed_quote,0,0,0,0,,,
5,neither_available,422,1,29,421,0.0688836104513064133016627078384798099762470308788598574821853,0.0483862326490055104049308912458694542985434425934463864396094,0.0971773829933052757015580182593981851292938612159484253603648
3,matched,7099,25,61,7074,0.00862312694373763076053152389030251625671472999717274526434832,0.00671935338305770197147745654973746708273823476033712359658719,0.0110602845973699857320825186744143161928683028443554754072565
3,ask_only,0,0,0,0,,,
3,bid_only,0,0,0,0,,,
3,crossed_quote,0,0,0,0,,,
3,neither_available,398,1,23,397,0.0579345088161209068010075566750629722921914357682619647355164,0.0389117020538386053983371808953434728276980245402852293782456,0.0854303731579707339792147817407968214036409394324932972709854
